Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Sivera Antonio,G,13,0,,14,45.83,14.58,13,14,14,14,15,18,13,13,5,5,5,365.5,10,10,10,01.05,01.05,01.05,0,0,0,1,1,1,900,900,900,90,90,90,,,null,1000,5,4.5,4,4.5,4,7,6.5,5.5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,0,0,null,,null,null,null,,null,13,10,null,null,null,null,null,11,null,null,null,null,9,-3,null,-6,null,null,80.1,-60,-11.38,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Jesús Owono,G,7,0,,7,8.33,4.17,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Duarte Rubén,DL,12,-1,,15,97.92,91.67,14,16,15,15,14,17,13,15,5.35,5.35,5.35,352.1,10,10,10,0.75,0.75,0.75,1,1,1,0.8,0.8,0.8,636,636,636,63.6,63.6,63.6,636,636,7,12,5.5,5,4.5,5,5,5.5,6,5.5,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,null,1,null,2,7,5,2,0.6819,405,6,9,61.19,11,null,null,25,18,38,26,13,6,101,10,10,1,null,-3,null,-6,null,4,167.15,-135.1,-9.43,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Sola Álex,DL,11,5,,11,6.25,02.08,11,11,,,11,11,11,11,5.28,5.36,5.1,398.44,9,7,15,0.51,0.56,0.47,0,0,0,0.67,0.86,0.47,492,464,636,54.67,66.29,42.4,,,null,1000,5.5,5,6,6,5,4.5,5.5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4.5,5,5,0,0,0,0,0,0,4.5,0,0,0,1,,null,null,null,1,11,6,9,0.6407,255,4,5,62.67,6,null,null,10,14,22,16,4,6,79,8,8,6,null,-2,null,-5,2,13,127.94,-92.39,-2.5,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Tenaglia Nahuel,DL,7,1,,7,02.08,02.08,7,7,,,,,7,7,5.17,5.5,5.17,505.33,3,1,3,0.29,0,0.29,0,0,0,0.33,0,0.33,83,13,83,27.67,13,27.67,,,null,1000,5.5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.3687,48,1,2,50,2,null,null,5,1,1,1,7,1,9,1,1,null,null,null,null,-1,null,null,57,-49.5,-3.3,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
López Javi,DL,9,2,,9,02.08,02.08,9,9,,,,,9,9,05.08,0,05.08,340,6,0,6,0.49,0,0.49,0,0,0,0.33,0,0.33,284,0,284,47.33,0,47.33,,,null,1000,0,5,0,6,5,5,0,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,1,1,1,0,4,0.5262,205,1,2,69.57,3,null,null,12,6,17,12,6,5,55,4,4,null,null,-2,null,-4,null,8,105.33,-85.17,-8.78,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Marín Rafa,DC,7,1,,7,27.08,14.58,7,8,7,7,7,9,7,7,4.94,5,4.94,322.75,8,1,8,0.42,0,0.42,0,0,0,0.63,0,0.63,455,1,455,56.88,1,56.88,,,null,1000,5,0,4,5,0,5,5.5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,4,1,null,0.6327,268,6,3,58.54,7,null,null,19,16,null,null,19,6,43,2,2,null,null,-2,null,-4,1,3,90.5,-102.5,-6.56,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Gorosabel Andoni,DL,10,2,,10,10.42,6.25,10,10,10,11,,,10,10,4.85,4.85,4.95,340.8,10,10,28,0.91,0.91,0.69,0,0,0,0.9,0.9,0.75,844,844,1973,84.4,84.4,70.46,,,null,1000,6,5.5,5,6,4,3.5,5,5,3.5,5,4,5,6,5,4.5,5,5,5,0,5,6,4.5,5.5,5,5.5,0,0,0,0,0,0,5,0,5,0,5,4,0,3,,null,null,null,2,4,4,4,0.7951,514,7,5,40.3,7,null,null,27,20,21,14,11,10,88,3,3,4,null,-3,null,-6,null,14,113.1,-147.5,-15.18,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Sedlar Aleksandar,DC,8,0,,8,16.67,6.25,8,8,,,8,8,8,9,4.61,4.5,4.61,341.56,9,5,9,0.65,0.79,0.65,0,0,0,1,1,1,769,450,769,85.44,90,85.44,,,null,1000,4.5,5,4,5.5,3.5,0,5.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,null,2,0,null,0.8174,400,13,7,50.91,10,null,null,25,13,null,null,33,10,58,2,2,2,null,-2,null,-4,null,2,106.33,-144,-13.01,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Abqar Abdel,DC,8,0,,10,4.17,4.17,10,10,11,11,8,8,8,8,4.57,5.25,4.57,295.71,7,2,7,0.73,0.35,0.73,0,0,0,1,1,1,629,180,629,89.86,90,89.86,,,null,1000,5.5,5,0,0,4,5,0,4,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,2,1,null,0.714,275,8,1,61.54,10,null,null,22,12,null,null,33,8,58,null,null,null,null,-3,null,-5,null,3,124.07,-170.57,-12.03,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
