Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Köhn Philipp,G,15,1,,19,74.02,45.79,17,21,15,20,17,22,17,21,5.44,5.44,5.44,529.56,9,9,9,01.01,01.01,01.01,0,0,0,1,1,1,810,810,810,90,90,90,,,null,1000,6,6,5.5,6.5,4,6.5,4,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,13,9,null,null,null,null,null,10,null,null,null,null,8,5,1,11,null,null,103.22,-54.44,-6.62,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Majecki Radoslaw,G,7,0,,8,22.06,14.21,7,8,7,8,7,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Lienard Yann,G,3,0,,4,4.86,3.18,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Singo Wilfried,DC,15,2,,21,98.32,88.79,21,25,21,25,21,24,22,26,06.06,06.06,5.36,574.38,8,8,32,01.12,01.12,01.03,1,1,3,1,1,0.84,720,720,2348,90,90,73.38,720,783,6.5,15,5.5,7.5,5.5,4.5,5.5,7.5,5.5,7,0,4.5,6.5,5.5,6,0,6,5,4.5,5,5,5,3.5,6.5,6,3,6.5,5,0,5,5,4.5,5,0,6,5,4,5,0,0,3,,null,null,null,1,9,4,1,0.8749,645,17,9,66.67,11,null,null,30,35,5,3,23,8,71,7,7,1,null,4,null,9,null,3,237.25,-128.87,-9.52,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Maripán Guillermo,DC,11,2,,13,87.29,48.22,12,15,11,15,12,15,12,15,5.58,0,5.22,575.67,6,0,25,1.16,0,01.05,1,0,2,0.83,0,0.96,451,0,2115,75.17,0,84.6,451,1058,7,11,0,7,5.5,5,4.5,7,0,0,4.5,5,3,0,0,0,4,4,5.5,4.5,4.5,6,0,0,0,0,5.5,7.5,4.5,5.5,6,5,5.5,5,4,6,6,0,0,0,2,,null,null,null,null,4,4,null,0.7163,320,8,2,50,4,null,null,13,14,null,null,27,6,36,1,1,null,null,3,null,7,null,1,160.08,-103,-11.7,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Jakobs Ismail,DL,10,3,,10,10.09,5.98,10,11,10,10,10,10,10,11,5.43,5.6,4.9,566.86,7,5,30,1.24,1.47,0.97,1,1,1,0.43,0.6,0.33,270,267,1093,38.57,53.4,36.43,270,1093,8,10,6,8,4.5,5,4.5,0,0,5,5,0,4.5,3,6,5,3.5,3.5,5,5,5,0,5,5,4,4.5,5,0,4,4.5,4.5,7,5,4.5,5,5,5.5,0,0,0,1,,null,null,1,1,4,2,1,0.7434,246,5,10,74.42,3,null,null,11,7,14,12,7,5,62,8,8,null,null,4,null,8,null,8,150.93,-92.21,-9.57,6.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Vanderson,DL,10,-2,,18,95.51,72.9,17,21,16,20,18,21,19,22,5.29,0,5.3,577,7,0,27,1.22,0,1,1,0,2,1,0,0.85,585,0,2075,83.57,0,76.85,585,1038,6.5,10,0,0,4.5,4.5,5,5,5,5,8,5,4.5,3.5,5,5.5,0,3,6.5,5,6.5,5,5.5,0,0,0,0,0,6,5.5,6.5,4.5,5.5,5.5,5,6,6.5,0,0,0,2,,null,null,1,2,12,10,9,0.7665,431,9,10,44.3,15,null,null,19,22,18,16,7,8,86,6,6,3,null,3,null,8,null,9,239.64,-201.71,-22.03,5.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Incertain
Caio Henrique,DL,3,-11,,22,93.08,80,21,25,21,25,21,25,21,26,5.83,0,5.18,597.17,6,0,31,1.44,0,01.05,0,0,0,1,0,0.9,529,0,2557,88.17,0,82.48,,,null,1000,0,0,0,6,4.5,8,5,7,4.5,4.5,5,4,5.5,5.5,2.5,4,5.5,6.5,4.5,5,5,5,5,5.5,5,7,4.5,6,5,4.5,6,0,4,5.5,5,0,0,0,2.5,,null,null,4,4,4,1,7,0.8444,443,4,6,60.61,2,null,null,15,17,18,13,8,6,77,10,10,3,null,2,null,7,null,8,243.58,-150.42,-16.18,5.50,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Genou (7sem.)
Matsima Chrislain,DC,6,0,,9,3.18,1.5,6,11,6,6,6,12,6,6,4.75,5,4.94,527.25,4,2,16,0.87,1.41,0.93,0,0,0,0.5,0.5,0.56,227,135,875,56.75,67.5,54.69,,,null,1000,6,4,0,0,0,0,0,4.5,4.5,0,0,4,6,6,4,0,0,5,5,0,0,0,3.5,7,0,0,0,0,4.5,0,5,5,5,0,0,0,0,0,null,,null,null,1,null,1,0,null,0.9285,191,4,5,41.18,10,null,null,7,11,null,null,3,3,12,3,3,1,null,4,null,8,null,1,122.5,-139.25,-12.7,6.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,Sursis (8sem.)
Salisu Mohammed,DC,5,-4,,13,19.63,7.48,12,14,12,12,12,15,11,13,0,0,4.59,0,0,0,11,0,0,0.8,0,0,0,0,0,0.91,0,0,981,0,0,89.18,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,5.5,4,5.5,5.5,4.5,3.5,4,3.5,4.5,5.5,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Pubalgie (5sem.)
