Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Raya David,G,14,7,,14,52.08,30.21,14,14,14,14,14,14,14,14,5.6,5.6,5.93,524.6,5,5,30,0.55,0.55,0.91,0,0,0,1,1,1,450,450,2700,90,90,90,,,null,1000,5,6,6,5,6,0,0,0,0,6,7.5,7,5.5,5,7,4.5,6,4,7,4.5,5.5,5.5,5,5.5,6,7,7,6,6,7.5,6,7,6,6,0,0,0,0,3,,null,null,null,null,0,0,null,,null,null,null,,null,5,3,null,null,null,null,null,3,null,null,null,null,5,3,null,6,null,null,98,-33,0.82,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Ramsdale Aaron,G,7,-9,,22,92.71,54.17,21,26,27,32,21,26,18,24,5,0,5.27,396.75,4,0,30,0.82,0,01.06,0,0,0,1,0,1,360,0,2700,90,0,90,,,null,1000,0,0,0,0,0,5,4,6,5,5,4.5,4,7,6,4,3,4.5,6,6,6,6,5,5,5.5,4.5,4.5,4,8,5.5,6,6,6,6,6,0,4,0,0,1,,null,null,null,null,0,0,null,,null,null,null,,null,4,1,null,null,null,null,null,4,null,null,null,null,3,3,null,4,null,null,64,-32.5,-9.32,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Hein Karl,G,3,2,,3,10.42,6.25,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
White Ben,DC,13,3,,13,97.92,61.46,13,15,13,14,13,15,14,15,5.5,5.5,5.27,491.89,9,9,35,0.75,0.75,0.93,1,1,3,1,1,0.94,810,810,2900,90,90,82.86,810,967,6,13,5,6,7,5,6,5.5,5,5.5,4.5,5.5,5,3,6,5.5,2.5,4.5,5.5,5,6,6,5,6.5,5,4.5,5,4,5,6,5,6,7,5.5,5,6,0,5,0,0,4,,null,null,null,1,3,3,3,0.8569,750,7,9,53.66,6,null,null,18,16,12,7,21,7,107,9,9,2,null,6,null,10,null,7,159.72,-111.5,-15.1,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Saliba William,DC,17,1,,26,100,84.38,25,30,24,28,24,30,26,30,5.5,5.5,5.4,477.22,9,9,24,0.71,0.71,0.74,0,0,0,1,1,1,810,810,2146,90,90,89.42,,,null,1000,4.5,6,6,5,5.5,5.5,4.5,6.5,6,0,0,0,0,0,0,0,0,0,0,0,6.5,5.5,5.5,5.5,4,5,5.5,6,5.5,5,5,5.5,6,6,0,3.5,0,0,4,,null,null,1,null,1,1,null,0.9323,798,7,3,60.53,3,null,null,24,24,null,null,19,7,57,2,2,1,null,6,null,10,null,5,130.33,-83.78,-7.24,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Zinchenko Oleksandr,DL,13,2,,15,79.17,31.25,14,16,20,20,15,17,13,13,5.44,5.44,5.26,526.88,8,8,29,0.82,0.82,0.93,0,0,1,0.75,0.75,0.9,470,470,2124,58.75,58.75,73.24,,2124,7,1000,4.5,6,6.5,4.5,6.5,5.5,5,5,0,0,0,0,6,5.5,3,3.5,0,5,4.5,6,6,5.5,6,7,5.5,4,4.5,6,5,6,5.5,5,5.5,0,0,4,0,0,3,,null,null,null,null,8,7,5,0.909,443,5,8,73.33,1,null,null,20,12,13,13,3,4,44,7,7,1,null,5,null,9,null,1,121.44,-75.94,-4.73,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Gabriel Magalhães,DC,16,-1,,19,78.12,23.96,18,20,18,22,19,20,17,17,5.38,5.5,5.32,470,8,6,34,0.52,0.55,0.91,0,0,2,0.75,1,0.94,564,540,2895,70.5,90,85.15,,1448,7,1000,5.5,5.5,6,4.5,5.5,6,0,5,5,6,5,3,6,5,2.5,4.5,5.5,5.5,6,5.5,7,5,6,5,5.5,5,5,5.5,5.5,5,6,6,7,6,0,4,0,0,3,,null,null,null,null,3,2,1,0.8854,464,10,4,59.57,7,null,null,15,7,1,1,9,4,45,null,null,null,null,6,null,10,null,2,109.69,-73.12,-7.51,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Timber Jurriën,DC,1,0,,1,18.75,8.33,1,1,1,1,1,1,1,1,5,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1,50,0,50,50,0,50,,,null,1000,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.8889,51,null,1,50,2,null,null,1,1,null,null,1,null,5,null,null,null,null,1,null,1,null,null,51,-63.5,-6.3,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Tomiyasu Takehiro,DL,8,1,,8,02.08,02.08,8,8,8,8,8,8,8,8,4.93,5,4.86,408.29,7,3,18,0.19,0,0.64,0,0,0,0.14,0,0.22,212,81,523,30.29,27,29.06,,,null,1000,5,5,5,0,5,5,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,5,5.5,5,5,4.5,0,0,0,5.5,0,2.5,0,0,1,,null,null,null,null,3,1,1,0.8505,180,2,null,44.44,3,null,null,10,6,1,1,6,2,31,null,null,1,null,6,null,10,null,2,45.29,-60.79,-5.97,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
Kiwior Jakub,DC,3,-4,,,,,7,7,8,8,7,7,8,8,4.75,0,5.1,512,2,0,15,0.35,0,01.02,0,0,1,0.5,0,0.8,91,0,1001,45.5,0,66.73,,1001,7.5,1000,0,0,0,0,0,0,4.5,5,0,7.5,4.5,3.5,6,5.5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,6,4,6,5.5,4,4.5,0,0,null,,null,null,null,null,1,1,1,0.9311,79,null,2,42.86,1,null,null,1,null,2,2,2,2,10,null,null,null,null,1,null,1,1,1,54.5,-91.5,-16.9,0,Arsenal,Sheffield,sam. 28/10 16:00,91.74311926605505,0.70698,0.70308,0.70261
