Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Carnesecchi Marco,G,7,0,,13,38.16,25,14,18,17,18,7,10,16,20,6,7,5.47,545.33,3,1,29,1,0,1.46,0,0,0,1,1,1,270,90,2610,90,90,90,,,null,1000,7,0,0,6,0,5,0,0,0,0,0,2,5,8,6,6,4,6.5,6,3.5,7,4,5,6,6,5.5,4,7,7,4,4.5,7,4,7,3,7,5.5,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,6,5,null,null,null,null,null,3,null,null,null,null,5,1,null,2,null,null,145,-43.33,-1.2,0,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Musso Juan,G,14,1,,15,81.08,68.92,15,18,14,14,17,20,15,20,5.75,0,5.43,357,6,0,23,1.21,0,1.12,0,0,0,1,0,1,540,0,2070,90,0,90,,,null,1000,0,4,6.5,0,6,0,6.5,4.5,7,0,0,0,0,0,5,0,0,0,4.5,6,5,5,5.5,3.5,4,7,7,7,6,4.5,5,0,4,0,5,6.5,0,0,4,,null,null,null,null,0,0,null,,null,null,null,,null,8,5,null,null,null,null,null,5,null,null,null,null,9,1,null,5,null,null,113,-35,-4.13,5.75,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Rossi Francesco,G,3,0,,3,2.7,2.7,3,3,3,3,3,3,3,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,,null,1000,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Kolasinac Sead,DL,13,2,,13,89.47,67.11,13,14,13,13,13,14,13,16,5,5,5.31,409.44,9,9,34,0.79,0.79,01.02,1,1,5,0.78,0.78,0.82,655,655,2482,72.78,72.78,73,655,496,4.5,13,5,4.5,5,5,6,3.5,6,4.5,5.5,4,5,4,5,3.5,5.5,4.5,6.5,6,5.5,0,5.5,7.5,3,5,6,5,5.5,5.5,7,6,6,7,6.5,5,5.5,0,0,0,4,,null,null,null,null,3,2,null,0.8552,461,4,7,54.39,7,null,null,31,23,2,2,7,8,73,2,2,3,null,2,null,7,null,7,127,-124.72,-14.64,0,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Djimsiti Berat,DC,11,2,,11,58.11,28.38,11,11,11,11,11,11,11,11,5.44,5.6,5.1,404.88,8,5,29,0.94,0.96,0.87,0,0,0,1,1,0.9,705,450,2287,88.13,90,78.86,,,null,1000,6.5,4,5.5,6,6,0,6,4,5.5,5,3.5,5,5.5,4,6,5,6,5,4,0,0,5.5,5,4,3.5,6,5.5,6,5,0,5.5,0,0,4,0,5.5,0,0,5.5,,null,null,null,null,2,0,1,0.8865,483,13,5,59.7,9,null,null,27,17,1,1,16,5,48,2,2,null,null,3,null,8,null,2,156.06,-110.25,-8.12,5.50,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Ruggeri Matteo,DL,10,2,,10,82.43,68.92,10,11,10,11,11,12,10,12,5.39,5.39,5.19,411.44,9,9,21,1.11,1.11,01.01,0,0,0,1,1,0.81,752,752,1553,83.56,83.56,73.95,,,null,1000,6,5,5.5,5.5,5.5,4,6.5,3.5,7,0,0,0,0,0,0,0,0,0,0,6,7,3.5,4,5,0,0,5,5,5,4.5,6,5,0,4.5,0,0,0,0,5.5,,null,null,3,4,2,1,5,0.8379,520,6,3,42,9,null,null,22,19,30,23,7,7,70,9,9,1,null,2,null,7,null,8,176,-135.11,-13.33,7.00,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Scalvini Giorgio,DC,11,-1,,14,86.84,67.11,13,16,11,11,14,18,14,16,5.28,5.28,4.91,425,9,9,33,0.94,0.94,0.86,0,0,1,0.89,0.89,0.97,707,707,2595,78.56,78.56,78.64,,2595,6,1000,5.5,4,5.5,5,5.5,5,7,4,6,5,4.5,4.5,3.5,4,5,6,6,4.5,4,5.5,5.5,4,0,3.5,0,4,4.5,6,5,6,5,4,5,0,4,5.5,0,0,4.5,,null,null,null,null,5,3,1,0.8096,574,18,11,65.52,9,null,null,37,23,1,1,19,8,79,1,1,2,null,2,null,7,1,5,172.72,-140.78,-12,5.50,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Zappacosta Davide,DL,10,-1,,15,73.97,47.95,14,16,14,16,14,16,14,17,5,4.67,5.15,385.88,8,3,27,0.93,01.04,01.09,0,0,4,1,1,0.89,584,252,1970,73,84,72.96,,493,5.5,1000,5.5,3.5,5,0,6,4.5,6,4,5.5,4.5,4,7,5,3.5,5.5,7.5,6,4.5,4.5,5,6,5,0,4,4.5,7.5,0,0,0,4,5.5,5.5,0,0,0,0,0,0,4.5,,null,null,null,1,15,9,5,0.8826,398,null,4,41.3,4,null,null,14,12,15,12,3,6,55,3,3,6,null,1,null,6,4,11,139.69,-141.12,-14.09,6.00,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Bakker Mitchel,DL,13,1,,15,46.05,15.79,15,17,14,16,17,19,13,13,5,0,5,374.25,4,0,4,0,0,0,0,0,0,0,0,0,36,0,36,9,0,9,,,null,1000,0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,2,0.7771,55,null,null,85.71,null,null,null,3,1,4,4,1,1,13,2,2,null,null,-1,null,1,null,4,38.63,-30.75,-2.48,0,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
Hateboer Hans,DL,3,2,,3,17.57,13.51,3,3,3,3,3,3,3,3,5,5,5.15,487.5,2,1,10,0,0,0.88,0,0,1,0,0,0.8,46,1,666,23,1,66.6,,666,6,1000,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,4.5,6.5,4.5,0,5,0,4,0,4.5,6,0,0,null,,null,null,null,null,1,1,null,0.8572,16,null,null,,1,null,null,1,null,1,1,3,null,4,null,null,null,null,2,null,3,null,null,36.25,-27.25,-2.7,6.00,Atalanta,Empoli,lun. 30/10 18:30,61.72839506172839,0.56669,0.58799,0.56656
